course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"Ocean Course at Kiawah Island",72,1,4,7,5,1,4,11,62,53,36,23,24,2,26,66,24,30,79,15,2,1,11,34,21,2,8,22,52,15,17
"Torrey Pines South (U.S. Open)",71,2,3,34,6,7,5,4,82,56,5,10,25,16,38,13,75,45,71,76,8,10,21,46,25,33,11,12,10,74,76
"Torrey Pines Golf Course (South Course)",72,3,5,36,17,35,10,25,48,84,15,4,53,43,20,5,52,34,67,68,29,39,42,70,44,47,5,1,25,69,71
"Quail Hollow Club (PGA Championship)",71,4,13,5,3,4,2,28,54,31,33,7,10,27,55,35,13,12,45,28,3,5,38,9,2,53,35,3,6,29,51
"Crooked Stick GC",72,5,8,32,52,21,38,61,25,82,50,65,46,63,37,59,55,64,60,17,47,62,61,52,50,46,81,58,49,22,30
"Medinah Country Club (No. 3)",72,6,12,16,66,54,59,58,55,39,53,73,77,62,58,11,45,18,86,71,57,60,63,68,51,87,85,77,35,60,52
"Trump National Doral",72,7,10,19,10,5,9,9,30,32,12,71,35,3,8,62,38,42,78,20,18,12,4,64,29,43,82,66,62,1,4
"Augusta National Golf Club",72,8,7,72,8,12,3,34,59,9,85,3,2,8,49,84,30,54,39,52,13,7,12,2,42,26,20,7,2,19,46
"Wilmington Country Club",71,9,14,33,39,37,57,14,87,7,1,67,45,38,59,8,83,39,77,87,54,34,47,30,34,82,26,81,42,66,53
"Caves Valley Golf Club",72,10,22,4,77,64,80,64,52,69,70,81,57,84,74,47,82,70,87,79,67,67,85,61,38,72,65,65,83,58,73
"Southern Hills Country Club",70,11,21,2,4,3,11,6,77,12,52,15,18,13,66,81,81,56,84,39,4,8,17,12,22,28,12,8,39,35,84
"Congressional CC (Blue)",71,12,17,30,45,78,45,15,44,67,32,16,73,75,57,6,69,48,18,67,63,82,71,75,68,61,49,9,27,39,65
"Quail Hollow Club",71,13,15,31,25,19,21,46,72,17,14,14,56,28,63,29,60,71,73,34,22,25,26,35,59,58,51,17,8,23,44
"Winged Foot GC",70,14,26,10,1,2,1,2,47,3,3,1,5,24,2,38,72,19,41,85,1,38,20,10,1,32,2,14,1,86,86
"Congaree Golf Club",71,15,18,54,43,34,47,42,84,13,83,25,14,36,86,85,44,38,38,44,49,30,44,11,28,15,42,41,11,52,68
"Shadow Creek Golf Course",72,16,19,51,48,36,39,39,70,49,16,60,3,47,47,27,3,4,16,37,40,45,49,8,3,7,87,71,16,21,6
"Plantation Course at Kapalua",73,17,66,46,83,53,75,78,67,16,82,21,62,60,87,82,36,83,33,12,86,41,65,45,66,55,40,29,17,38,19
"The Summit Club",72,18,16,75,86,85,87,83,74,22,68,40,84,87,82,69,54,78,42,22,77,86,87,85,84,39,32,35,47,30,54
"Bethpage Black",71,19,28,26,7,14,8,22,43,65,28,13,43,18,34,25,12,14,14,83,14,26,16,31,52,45,17,15,23,81,62
"Arnold Palmer's Bay Hill Club &amp; Lodge",72,20,39,3,19,11,14,41,17,41,46,38,48,9,14,52,28,22,81,21,12,11,8,49,11,68,47,49,29,13,5
"Muirfield Village Golf Club",72,21,20,57,22,8,19,26,37,68,60,42,8,11,32,49,7,3,55,18,16,20,6,18,4,21,57,38,36,12,31
"Oak Hill Country Club",70,22,27,24,2,13,6,1,45,15,2,26,15,37,3,10,34,28,11,42,9,53,27,54,5,18,10,18,57,44,69
"Firestone CC (South)",70,23,34,14,15,39,20,13,75,5,4,47,41,26,51,1,33,16,35,86,5,13,41,33,49,44,54,52,37,73,56
"The Los Angeles Country Club (North Course)",70,24,6,1,9,10,13,10,69,23,74,9,26,65,75,80,2,1,7,78,27,21,76,25,19,6,22,10,7,83,70
"The Concession Golf Club",72,25,40,9,38,17,34,38,33,50,81,45,21,39,16,83,10,86,80,1,44,29,43,4,78,48,83,53,19,4,1
"Vidanta Vallarta",71,26,1,74,70,65,58,70,79,60,59,51,86,66,70,77,73,75,32,14,59,83,52,81,86,64,30,39,76,18,39
"Detroit Golf Club",72,27,23,69,78,74,76,63,73,21,71,28,60,71,80,61,74,43,58,80,79,48,78,74,43,62,21,28,33,79,57
"Golf Club of Houston",72,28,31,39,55,57,54,31,12,75,58,78,79,56,6,45,61,81,64,4,66,76,40,79,79,66,80,68,77,2,29
"TPC San Antonio (Oaks Course)",72,29,30,55,36,48,31,16,50,33,24,34,42,17,24,33,67,87,20,56,19,15,19,32,74,17,50,45,20,54,42
"Whistling Straits",72,30,32,38,21,27,12,29,24,58,40,74,4,14,48,18,20,10,12,59,23,2,39,26,6,3,76,83,28,56,63
"Muirfield Village Golf Club (Workday)",72,31,24,63,44,15,48,33,60,26,37,49,9,23,36,43,11,11,53,10,41,43,15,17,9,14,36,55,48,3,22
"Albany GC",72,32,2,61,63,69,52,44,85,63,75,87,6,57,76,75,4,59,68,5,15,59,53,3,37,8,4,87,84,10,3
"TPC Louisiana",72,33,47,11,74,50,79,56,4,83,78,72,63,82,44,54,77,68,82,25,71,78,81,51,83,59,37,75,79,33,38
"Eagle Point Golf Club",72,34,25,81,30,28,37,3,27,76,43,35,47,5,30,46,86,85,63,47,26,16,3,58,55,11,45,63,9,27,83
"Ridgewood CC",71,35,36,50,42,72,40,19,11,72,55,69,23,68,15,42,57,33,43,77,51,47,70,39,12,41,66,72,61,76,55
"Club de Golf Chapultepec",71,36,42,21,34,9,49,35,78,1,30,2,54,45,84,28,49,21,8,70,43,9,72,48,70,9,3,4,3,47,20
"Olympia Fields Country Club (North Course)",70,37,44,23,14,29,22,8,64,14,7,30,38,44,19,4,31,13,70,55,25,23,60,53,18,76,46,33,24,64,45
"Baltusrol GC",70,38,53,6,24,49,30,27,13,45,35,24,64,81,23,22,39,29,40,45,61,56,84,65,31,81,18,16,43,65,64
"East Lake Golf Club",70,39,52,8,33,22,32,74,56,79,17,82,51,61,42,2,8,6,28,63,30,65,56,57,35,73,86,78,70,55,43
"TPC Scottsdale (Stadium Course)",71,40,35,68,49,59,43,55,81,52,23,66,34,35,61,37,42,72,61,7,55,37,34,23,69,34,60,57,73,16,40
"Royal Liverpool",71,41,33,73,11,26,7,18,5,4,13,84,19,19,1,21,17,57,4,40,11,3,29,42,33,4,48,80,87,49,2
"Robert Trent Jones GC",71,42,38,62,59,76,62,40,32,57,64,29,22,79,69,20,70,47,47,32,74,77,77,22,40,24,78,25,22,37,78
"TPC Craig Ranch (Par 71)",71,43,48,29,84,81,86,84,71,81,49,86,85,85,79,70,66,65,44,48,70,84,82,86,85,50,73,84,85,68,75
"TPC Craig Ranch",72,44,41,43,85,71,85,79,65,78,63,76,83,80,68,74,43,61,24,50,72,66,80,84,75,74,61,60,82,70,85
"Bellerive CC",70,45,50,27,35,44,46,30,28,38,66,54,50,72,45,53,21,9,62,23,52,73,67,59,23,63,24,61,55,32,80
"St. Andrews Links (Old Course)",72,46,86,67,50,16,60,48,86,2,62,52,1,1,85,87,58,66,1,49,87,6,7,1,48,1,16,86,5,62,23
"Glen Oaks Club",70,47,54,13,12,20,18,23,34,30,67,11,28,41,62,68,53,36,49,51,38,19,54,29,8,40,14,23,4,53,48
"The Riviera Country Club",71,48,46,45,31,38,16,68,39,19,10,5,59,49,17,50,87,80,31,81,6,40,51,41,73,12,6,5,21,85,47
"Oakdale Golf &amp; Country Club",72,49,78,56,57,82,53,59,20,36,21,57,40,52,18,19,15,7,59,74,46,68,37,66,14,77,23,51,80,82,87
"TPC Twin Cities",71,50,49,41,64,80,67,54,61,74,61,83,61,67,50,60,23,55,34,9,76,75,57,69,54,25,70,62,86,11,10
"The Country Club of Jackson",72,51,51,65,71,73,70,45,42,54,18,44,66,55,43,14,80,49,52,61,69,69,46,44,67,80,31,36,63,59,79
"Liberty National Golf Club",71,52,55,49,51,58,35,71,38,64,73,70,67,54,22,67,5,69,25,3,28,55,55,50,39,84,77,67,69,5,24
"Glen Abbey GC",72,53,37,87,62,51,50,72,80,28,11,64,55,7,67,31,68,51,76,54,39,35,1,63,57,31,75,69,40,28,50
"TPC Harding Park",70,54,58,22,20,24,25,62,46,25,6,75,29,34,33,12,51,20,85,73,17,22,45,43,16,36,79,82,34,77,33
"Pete Dye Stadium Course",72,55,60,59,73,43,82,52,19,73,38,79,80,50,25,48,78,76,26,33,58,80,22,83,80,5,67,73,81,8,9
"TPC Boston",71,56,64,20,41,31,56,24,23,86,56,43,32,33,52,63,50,63,21,60,45,36,31,20,36,38,43,43,44,42,66
"Keene Trace Golf Club (Champions Course)",72,57,61,53,87,86,84,86,66,47,54,46,70,74,72,55,56,58,22,31,82,81,69,73,58,49,55,47,38,36,14
